	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample	DGMM: Full sample	SGMM: Full sample
																
	(7.07e-05)	(6.98e-05)	(0.000124)	(0.000105)	(8.42e-05)	(8.09e-05)	(0.000121)	(0.000114)	(4.93e-05)	(4.97e-05)	(0.000113)	(0.000110)	(4.80e-05)	(4.84e-05)	(4.80e-05)	(4.84e-05)
bbb10spr	4.21e-05**	7.24e-05***	5.86e-06	3.51e-05	7.34e-05***	7.76e-05***	2.75e-05	1.72e-05	1.79e-05	3.17e-05**	-4.02e-05	-8.41e-06	3.06e-05**	4.43e-05***	3.06e-05**	4.43e-05***
	(1.97e-05)	(1.84e-05)	(3.66e-05)	(3.19e-05)	(2.42e-05)	(2.35e-05)	(2.91e-05)	(2.70e-05)	(1.39e-05)	(1.24e-05)	(3.16e-05)	(2.87e-05)	(1.27e-05)	(1.13e-05)	(1.27e-05)	(1.13e-05)
Constant		0.00809***		0.0136***		0.0203***		0.0320***		0.00757***		0.0114***		0.00741***		0.00741***
		(0.00304)		(0.00525)		(0.00608)		(0.00818)		(0.00224)		(0.00343)		(0.00181)		(0.00181)
																
Observations	70,236	72,502	66,569	69,048	69,493	71,177	67,867	70,657	298,332	307,773	57,108	58,164	355,440	365,937	355,440	365,937
Number of rssd9001	2,421	2,450	2,508	2,545	1,169	1,184	1,347	1,379	4,260	4,277	1,645	1,656	4,320	4,336	4,320	4,336
Standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
