	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
c.eh10#cL.savingdepshare	-0.00136	-0.00193**	0.000761	-2.14e-05	-0.000958	-0.000886	0.000365	0.000251	-0.000415	-0.000908*	-0.00261***	-0.00248***	-0.00137**	-0.00148***
	(0.000937)	(0.000764)	(0.00163)	(0.00131)	(0.00101)	(0.000783)	(0.00178)	(0.00136)	(0.000629)	(0.000507)	(0.000982)	(0.000765)	(0.000556)	(0.000454)
c.eh10#cL.loanshare	-0.00291***	-0.00330***	-0.00935***	-0.00691***	-0.00372**	-0.00262**	-0.00334**	-0.00193	-0.00351***	-0.00259***	-0.00429***	-0.00324***	-0.00463***	-0.00327***
	(0.000897)	(0.000669)	(0.00318)	(0.00242)	(0.00148)	(0.00111)	(0.00158)	(0.00125)	(0.000753)	(0.000607)	(0.00146)	(0.00122)	(0.000712)	(0.000566)
c.eh10#cL.lnassets	-4.38e-05	-1.25e-05	2.94e-06	1.82e-05	0.000387	0.000553***	-0.000532	6.64e-05	7.32e-05	0.000105	0.000409**	0.000241*	0.000207**	0.000178**
	(0.000125)	(0.000104)	(0.000217)	(0.000159)	(0.000280)	(0.000201)	(0.000642)	(0.000474)	(0.000109)	(8.32e-05)	(0.000188)	(0.000126)	(0.000100)	(8.13e-05)
1L.madummy#c.eh10	0.000618	0.000717	-0.000404	-0.00205	-0.00470***	-0.00697***	-0.0213	-0.0225	-0.00649**	-0.00451**	-0.00140	-0.000528	-0.00708***	-0.00735***
	(0.00187)	(0.00159)	(0.00249)	(0.00295)	(0.00172)	(0.00183)	(0.0149)	(0.0137)	(0.00258)	(0.00219)	(0.00143)	(0.00124)	(0.00260)	(0.00246)
dloggdp	-0.00274***	-0.00255***	-0.00355***	-0.00377***	-0.00344***	-0.00335***	-0.00148	-0.00162*	-0.00292***	-0.00272***	-0.00558***	-0.00489***	-0.00381***	-0.00366***
	(0.000549)	(0.000526)	(0.000877)	(0.000860)	(0.000807)	(0.000780)	(0.000942)	(0.000844)	(0.000417)	(0.000410)	(0.000695)	(0.000672)	(0.000387)	(0.000368)
unempgap	1.79e-05	3.59e-05***	6.16e-05**	4.78e-05*	4.55e-05*	4.94e-05**	4.47e-05*	3.05e-05	2.39e-05**	2.05e-05*	2.72e-05	3.06e-05*	2.76e-05***	2.70e-05***
	(1.72e-05)	(1.33e-05)	(3.08e-05)	(2.52e-05)	(2.47e-05)	(2.08e-05)	(2.55e-05)	(2.08e-05)	(1.14e-05)	(1.05e-05)	(1.96e-05)	(1.66e-05)	(1.05e-05)	(8.93e-06)
dlogdef	0.000583	-0.000449	0.00141	-0.00220	-0.000635	-0.00117	-0.00102	-0.00123	8.85e-05	-0.00209***	0.000881	-0.000900	-0.000283	-0.00199***
	(0.00149)	(0.00103)	(0.00254)	(0.00184)	(0.00226)	(0.00154)	(0.00273)	(0.00209)	(0.00107)	(0.000733)	(0.00189)	(0.00133)	(0.000968)	(0.000651)
dhi	-0.000115	-3.84e-05	0.00113*	0.000576	0.000151	-0.000643**	0.000843	0.000671*	9.57e-05	0.000169	0.000764	4.89e-06	0.000210	7.12e-05
	(0.000372)	(0.000226)	(0.000589)	(0.000426)	(0.000415)	(0.000315)	(0.000546)	(0.000379)	(0.000210)	(0.000146)	(0.000507)	(0.000369)	(0.000191)	(0.000138)
vix	-2.70e-06*	-2.09e-06	2.01e-06	3.31e-06	3.29e-06*	3.25e-06**	3.98e-06	3.64e-06	-1.44e-06	1.04e-06	-2.25e-06	2.89e-08	-5.15e-07	1.46e-06
	(1.51e-06)	(1.42e-06)	(2.91e-06)	(2.74e-06)	(1.78e-06)	(1.64e-06)	(2.95e-06)	(2.76e-06)	(1.23e-06)	(1.09e-06)	(2.20e-06)	(2.02e-06)	(1.11e-06)	(9.95e-07)
dlogspy	9.16e-06	4.65e-05	0.000147	0.000208	0.000259**	0.000243**	0.000127	2.22e-05	0.000161***	0.000177***	-0.000235*	-0.000115	0.000216***	0.000247***
